cod_coord,iso3_coord,estatus_geo,lon,lat
422,LBN,Member State,35.89868090414829,33.92514579294343
430,LBR,Member State,-9.309220699045964,6.450710978743646
434,LBY,Member State,18.00638485781791,27.152909186825404
662,LCA,Member State,-60.96529031293484,13.894110078435881
438,LIE,Member State,9.554008704325334,47.14519499462592
144,LKA,Member State,80.70463019529778,7.617640741826547
426,LSO,Member State,28.25276703107271,-29.58355679934594
440,LTU,Member State,23.904503355496757,55.349576218868485
442,LUX,Member State,6.094625694613706,49.778517269069305
428,LVA,Member State,26.424436512763332,56.650296115364284
446,MAC,CN Special Administrative Region,113.54668506769494,22.19741472235423
504,MAR,Member State,-6.242973839061012,31.90996102566771
492,MCO,Member State,7.42185451992675,43.75280724356488
498,MDA,Member State,28.468171314986744,47.217609012511325
450,MDG,Member State,46.679249643261805,-19.48048785134503
462,MDV,Member State,73.09672546302808,-0.614385026335258
484,MEX,Member State,-102.69107378265824,24.17410142951067
584,MHL,Member State,171.08391189524542,7.110213505534669
807,MKD,Member State,21.701596966395538,41.60322487882393
466,MLI,Member State,-3.4984075477241827,17.454190369855215
470,MLT,Member State,14.446156893462652,35.89197404235342
104,MMR,Member State,96.51485583734991,21.317146036990522
499,MNE,Member State,19.247734568594257,42.790410252330155
496,MNG,Member State,103.03285058947685,46.97706091042696
508,MOZ,Member State,38.18479940942065,-14.299569940725624
478,MRT,Member State,-10.319065992973526,20.346246952748828
480,MUS,Member State,57.56799316483424,-20.28598544850653
454,MWI,Member State,33.4884624995541,-13.410270801186918
458,MYS,Member State,110.75310365815088,4.81416244634033
516,NAM,Member State,17.22697230048664,-22.252242493081162
562,NER,Member State,9.427878740920514,17.48280017501765
566,NGA,Member State,8.101760642930433,9.608984556627835
558,NIC,Member State,-85.03305845046113,12.846253785285764
528,NLD,Member State,5.3319980685346975,51.87261267705874
578,NOR,Member State,11.478463888888069,61.43901740814567
524,NPL,Member State,83.92982492572226,28.271660034163286
520,NRU,Member State,166.92313003306336,-0.5287426580667941
554,NZL,Member State,170.43481783916334,-44.04645223370973
512,OMN,Member State,57.87743482104852,21.998497242305803
586,PAK,Member State,68.86160000799423,29.491338614748404
591,PAN,Member State,-78.63610228828806,9.076863680206536
604,PER,Member State,-71.84017851960232,-13.611993368306106
608,PHL,Member State,120.86014175347769,14.1660638503938
585,PLW,Member State,134.5733922060412,7.502331696749761
598,PNG,Member State,145.8587761145338,-6.757760748794093
616,POL,Member State,19.392175125098937,52.184725144352164
630,PRI,US Territory,-66.47591436294232,18.227723808599354
408,PRK,Member State,127.19707818907469,40.17886309502737
620,PRT,Member State,-7.95615367164002,39.725760683733355
600,PRY,Member State,-58.37380441550355,-23.281592283826186
275,PSE,Occupied Palestinan Territory,35.25707048003452,31.945207378867345
634,QAT,Member State,51.198183753679025,25.28257169115741
642,ROU,Member State,24.98276860666385,45.87811415311754
643,RUS,Member State,100.99009572256598,64.04905153979881
646,RWA,Member State,29.9231030375974,-1.9999514908481975
682,SAU,Member State,44.481616494235716,24.282468738983145
729,SDN,Member State,29.97358783015215,16.10720987129972
686,SEN,Member State,-14.471614077822759,14.367409953832858
702,SGP,Member State,103.81078815353578,1.3610104245117407
90,SLB,Member State,160.15849599518015,-9.6224893416873
694,SLE,Member State,-11.78311374991719,8.57262494300409
222,SLV,Member State,-88.86579120426366,13.730185707685559
674,SMR,Member State,12.459187181116752,43.9435180636945
706,SOM,Member State,46.203674764839896,4.406543594848303
688,SRB,Member State,20.79685528834531,44.05718388792688
728,SSD,Member State,30.32442553899982,7.302292698395148
678,STP,Member State,6.609772426703005,0.24155569029784427
740,SUR,Member State,-55.90622111681497,4.134551609078896
703,SVK,Member State,19.491005720007333,48.71198291285005
705,SVN,Member State,14.992859999687028,46.05918791957544
752,SWE,Member State,14.379242152414886,60.92436995409391
748,SWZ,Member State,31.501514129382745,-26.566696289302126
690,SYC,Member State,55.46562004821069,-4.678064910362297
760,SYR,Member State,38.52132696657206,35.03592337077838
148,TCD,Member State,18.666865551504678,15.451346165006372
768,TGO,Member State,0.9782073536629995,8.536202033441024
764,THA,Member State,101.02094192636669,15.199088551199404
762,TJK,Member State,69.3246524998146,38.39774409272878
795,TKM,Member State,59.352377359232676,39.16678339564821
626,TLS,Member State,125.94464046494862,-8.797768882998037
776,TON,Member State,-175.19599914553726,-21.195117239456362
780,TTO,Member State,-61.293852286578094,10.419023412499183
788,TUN,Member State,9.571077790668264,34.164519961929294
792,TUR,Member State,35.44064659284614,39.02851360772306
798,TUV,Member State,178.667961120442,-7.460048144139627
