iso3_econ,año,pct_desempleo,pbi_pc_ppa,inflacion,gini,hdi
BHR,2020,1.765,53436.0316999712,-2.31770629331379,,0.885
BHR,2024,1.084,66941.2430367989,0.919635459817651,,
BHS,1990,,19817.3559352245,4.66931912018676,,0.762
BHS,1995,10.83,20377.3363160798,2.06699495410042,,0.774
BHS,2000,7.118,25421.6229400308,1.60632941740579,,0.787
BHS,2005,10.2,29142.9002176758,1.59160618079802,,0.798
BHS,2010,14.435,29624.975385096,1.34402738392836,,0.801
BHS,2015,12.0,32137.5784729905,1.86148302863371,,0.807
BHS,2020,12.016,27204.625909518,0.0385210980054558,,0.797
BHS,2024,9.049,41197.9342548477,0.409162489083286,,
BIH,1990,,1042.76704125702,,,
BIH,1995,20.944,1506.82892477444,,,
BIH,2000,25.446,4147.92009953318,,,0.674
BIH,2005,30.218,5955.82944980971,,,0.698
BIH,2010,27.312,9085.74294205836,1.99621236745887,,0.725
BIH,2015,27.695,11845.4522958172,-1.03602303425474,,0.769
BIH,2020,15.868,16369.9353197836,-1.0512960076349,,0.783
BIH,2024,10.69,25043.0886396127,1.69212733599724,,
BLR,1990,,5220.47473044041,,,
BLR,1995,17.7,3845.7068203495,709.346032118606,28.7,0.692
BLR,2000,12.193,5795.65223573862,168.620235850934,31.2,0.724
BLR,2005,8.759,9636.89112385763,10.3388794457932,27.6,0.767
BLR,2010,6.052,15339.0999035972,7.735748043125,28.6,0.803
BLR,2015,5.881,18133.5313085883,13.5344897649735,25.6,0.825
BLR,2020,4.049,24872.3066744528,5.54814357456511,24.4,0.815
BLR,2024,3.458,33010.3307605357,5.78531910427999,,
BLZ,1990,,4467.10939538921,3.05907172995786,,0.617
BLZ,1995,12.48,6090.87963612643,2.88961584372151,57.5,0.647
BLZ,2000,10.841,7543.73447178525,3.06743966930585,,0.671
BLZ,2005,10.91,9466.1427445401,-1.1043104441191,,0.7
BLZ,2010,8.412,9747.8256219459,0.917977378808888,,0.727
BLZ,2015,7.578,9538.38691146009,-0.861584009427748,,0.721
BLZ,2020,10.763,9638.89513695889,0.121434644614894,,0.713
BLZ,2024,8.698,14346.5188049737,3.28955985952768,,
BOL,1990,,2796.6582759069,17.1187746048239,42.0,0.552
BOL,1995,2.664,3493.83709216274,10.1932067630745,,0.594
BOL,2000,2.439,4113.04245150496,4.60822998872598,61.6,0.63
BOL,2005,2.598,4937.86997682486,5.39323106890663,58.5,0.658
BOL,2010,2.609,6245.33863197671,2.50327605844241,,0.677
BOL,2015,3.111,8757.31777115406,4.05961041135645,46.7,0.704
BOL,2020,7.903,9580.98962081658,0.940742153381849,43.6,0.697
BOL,2024,3.274,12877.6351184372,5.09976568317427,,
BRA,1990,,6687.92294838768,2947.732772483,60.5,0.641
BRA,1995,7.092,8096.91149194686,66.0070335542481,59.5,0.666
BRA,2000,10.889,9091.76851349271,7.04414105947266,,0.69
BRA,2005,10.551,11081.2474735736,6.86953720898964,56.3,0.718
BRA,2010,8.42,14451.7158388109,5.03872690108075,,0.748
BRA,2015,8.538,14821.4383175183,9.02990102416136,51.9,0.764
BRA,2020,13.697,16101.6183062954,3.21176803803376,48.9,0.77
BRA,2024,6.801,22338.4765640635,4.36746407652337,,
BRB,1990,,11687.1661453303,3.07457271078017,,0.73
BRB,1995,19.66,12374.8287852829,1.87886279357229,,0.744
BRB,2000,9.35,15914.0847570681,2.43581303489137,,0.762
BRB,2005,9.08,18449.8108853234,6.08218729535043,,0.779
BRB,2010,10.69,20032.5818570838,5.82421853311866,,0.797
BRB,2015,9.803,19185.5186407924,-1.11278992510967,,0.8
BRB,2020,10.586,16555.3622145235,,,0.803
BRB,2024,6.448,24822.5343309908,-0.440112940205204,,
BRN,1990,,70200.7406426618,2.13866293163795,,0.781
BRN,1995,5.066,70440.0221115094,5.96664139499613,,0.784
BRN,2000,5.53,73086.9318257521,1.55815247634946,,0.792
BRN,2005,5.973,81534.17153993,1.24443711883965,,0.814
BRN,2010,6.487,79542.677943168,0.356869132017561,,0.83
BRN,2015,7.703,62707.8264437741,-0.488347420743522,,0.839
BRN,2020,7.409,69787.9632795717,1.94031996607184,,0.836
BRN,2024,5.18,89879.3614980758,-0.388674165036461,,
BTN,1990,,1637.87181211026,10.0118383223406,,
BTN,1995,1.4,2373.56846713951,9.48754836789369,,
BTN,2000,1.655,3113.045439264,4.01212081070342,,
BTN,2005,3.1,4523.35970644529,5.3126310463775,,
BTN,2010,3.32,7245.77263522404,7.03638316073019,,0.593
BTN,2015,2.45,10213.8139608922,4.54814395082205,,0.637
BTN,2020,5.03,12475.048003428,5.62936522632508,,0.688
BTN,2024,3.282,,2.76131569624098,,
BWA,1990,,6103.61612145385,11.3963461199556,,0.59
BWA,1995,21.394,7502.77894238533,10.512546081579,,0.583
