,año,semilla,resolucion,modularidad,num_comunidades
248,1990,71,0.3,0.822721215310279,10
249,1990,71,0.5,0.7499796494746308,12
250,1990,71,0.7,0.6843422183824168,12
251,1990,71,1.0,0.6225921313867839,14
252,1990,71,1.3,0.588738020558939,16
253,1990,71,1.5,0.5631585381799269,18
254,1990,71,1.7,0.5459246345348494,20
255,1990,71,2.0,0.5105124888117705,22
256,1990,71,2.3,0.4895544870003234,22
257,1990,71,2.5,0.47259079282558764,24
258,1990,71,2.7,0.45854946333418056,24
259,1990,71,3.0,0.44021588436353815,26
260,1995,2,0.2,0.850645787311672,7
261,1995,2,0.3,0.8047728725950465,8
262,1995,2,0.5,0.7285083589904986,10
263,1995,2,0.7,0.6672200352218642,13
264,1995,2,1.0,0.6126106447187699,14
265,1995,2,1.3,0.5696204326970888,17
266,1995,2,1.5,0.5491337453533137,17
267,1995,2,1.7,0.5308358371940661,18
268,1995,2,2.0,0.5062278366103815,20
269,1995,2,2.3,0.47777019611700644,20
270,1995,2,2.5,0.462448367848689,21
271,1995,2,2.7,0.44626525373808035,21
272,1995,2,3.0,0.4298133702905799,26
273,1995,3,0.2,0.8505248657990521,6
274,1995,3,0.3,0.8029657404865623,9
275,1995,3,0.5,0.7289967007888776,11
276,1995,3,0.7,0.6701551840420997,13
277,1995,3,1.0,0.6079754339279946,14
278,1995,3,1.3,0.5713916482622257,16
279,1995,3,1.5,0.5490751762688937,17
280,1995,3,1.7,0.5329739448598282,18
281,1995,3,2.0,0.5057578653005138,19
282,1995,3,2.3,0.48145560706664736,19
283,1995,3,2.5,0.4653668226855103,20
284,1995,3,2.7,0.450091854587944,22
285,1995,3,3.0,0.4287969727946219,25
286,1995,5,0.2,0.850645787311672,7
287,1995,5,0.3,0.8040029436565342,10
288,1995,5,0.5,0.7280272864721192,11
289,1995,5,0.7,0.6694198140293243,13
290,1995,5,1.0,0.6123498804700481,14
291,1995,5,1.3,0.5688082386788733,16
292,1995,5,1.5,0.5512216111558143,17
293,1995,5,1.7,0.5319505672153425,18
294,1995,5,2.0,0.5062278366103818,20
295,1995,5,2.3,0.4827627021942918,20
296,1995,5,2.5,0.46536682268551016,20
297,1995,5,2.7,0.4500181012954641,22
298,1995,5,3.0,0.42901451920813916,24
299,1995,7,0.2,0.8499154005606177,6
300,1995,7,0.3,0.8029657404865622,9
301,1995,7,0.5,0.7263519794002494,11
302,1995,7,0.7,0.6699680926760956,13
303,1995,7,1.0,0.6084205181440818,14
304,1995,7,1.3,0.5709388712933083,15
305,1995,7,1.5,0.5502040008642093,17
306,1995,7,1.7,0.5312517964969808,18
307,1995,7,2.0,0.5059869075796738,19
